"word","count"
"biden",4787
"us",2782
"trump",2623
"new",2419
"vaccine",2066
"democrats",1985
"covid",1884
"house",1474
"Â¢",1415
"bill",1248
"agenda",1229
"correspondent",1214
"former",1183
"election",1178
"dr",1165
"jan",1163
"gov",1092
"police",1075
"gop",1032
"vote",1028
"representative",985
"texas",944
"president",918
"capitol",855
"d",850
"$",833
"says",826
"=",822
"cnn",809
"chief",809
"fbi",804
"fda",800
"white",785
"rally",785
"manchin",780
"committee",758
"get",757
"facebook",740
"w",732
"infrastructure",727
"state",711
"may",711
"booster",675
"bidens",672
"plan",668
"now",665
"soon",656
"mandates",654
"bannon",652
"first",651
"law",649
"americans",645
"spending",637
"today",622
"covid-19",619
"abortion",619
"national",616
"laundrie",609
"school",585
"people",575
"senator",569
"pelosi",568
"director",563
"brian",555
"day",549
"race",548
"back",541
"mandate",540
"climate",536
"gabby",535
"cases",530
"general",526
"political",525
"california",521
"children",515
"death",507
"senior",506
"ahead",504
"+",500
"newsom",497
"health",494
"amid",491
"wh",484
"petito",483
"trumps",481
"economic",481
"pfizer",478
"calls",476
"january",471
"afghanistan",468
"court",467
"911",467
"analyst",465
"vaccinated",462
"contempt",459
"attorney",454
"taliban",449
"set",438
"cdc",432
"kids",430
